[22;0t]0;IPython: OptNet_Modified/classification  + Number of params: 159010
Train Epoch: 0.11 [6912/60000 (11%)]	Loss: 0.323508	Error: 7.812500
Train Epoch: 0.12 [6976/60000 (12%)]	Loss: 0.252779	Error: 7.812500
Train Epoch: 0.12 [7040/60000 (12%)]	Loss: 0.347844	Error: 6.250000
Train Epoch: 0.12 [7104/60000 (12%)]	Loss: 0.210334	Error: 7.812500
Train Epoch: 0.12 [7168/60000 (12%)]	Loss: 0.262129	Error: 7.812500
Train Epoch: 0.12 [7232/60000 (12%)]	Loss: 0.305610	Error: 10.937500
Train Epoch: 0.12 [7296/60000 (12%)]	Loss: 0.221374	Error: 6.250000
Train Epoch: 0.12 [7360/60000 (12%)]	Loss: 0.202775	Error: 7.812500
Train Epoch: 0.12 [7424/60000 (12%)]	Loss: 0.283692	Error: 9.375000
Train Epoch: 0.12 [7488/60000 (12%)]	Loss: 0.190855	Error: 7.812500
Train Epoch: 0.12 [7552/60000 (12%)]	Loss: 0.228248	Error: 7.812500
Train Epoch: 0.13 [7616/60000 (13%)]	Loss: 0.468422	Error: 15.625000
Train Epoch: 0.13 [7680/60000 (13%)]	Loss: 0.306124	Error: 9.375000
Train Epoch: 0.13 [7744/60000 (13%)]	Loss: 0.129711	Error: 3.125000
Train Epoch: 0.13 [7808/60000 (13%)]	Loss: 0.358601	Error: 10.937500
Train Epoch: 0.13 [7872/60000 (13%)]	Loss: 0.349036	Error: 10.937500
Train Epoch: 0.13 [7936/60000 (13%)]	Loss: 0.191840	Error: 7.812500
Train Epoch: 0.13 [8000/60000 (13%)]	Loss: 0.146324	Error: 1.562500
Train Epoch: 0.13 [8064/60000 (13%)]	Loss: 0.506624	Error: 15.625000
Train Epoch: 0.13 [8128/60000 (13%)]	Loss: 0.158183	Error: 9.375000
Train Epoch: 0.14 [8192/60000 (14%)]	Loss: 0.161168	Error: 4.687500
Train Epoch: 0.14 [8256/60000 (14%)]	Loss: 0.448223	Error: 10.937500
Train Epoch: 0.14 [8320/60000 (14%)]	Loss: 0.109703	Error: 4.687500
Train Epoch: 0.14 [8384/60000 (14%)]	Loss: 0.200076	Error: 6.250000
Train Epoch: 0.14 [8448/60000 (14%)]	Loss: 0.209020	Error: 4.687500
Train Epoch: 0.14 [8512/60000 (14%)]	Loss: 0.349663	Error: 10.937500
Train Epoch: 0.14 [8576/60000 (14%)]	Loss: 0.227799	Error: 6.250000
Train Epoch: 0.14 [8640/60000 (14%)]	Loss: 0.248598	Error: 7.812500
Train Epoch: 0.14 [8704/60000 (14%)]	Loss: 0.276311	Error: 10.937500
Train Epoch: 0.14 [8768/60000 (14%)]	Loss: 0.163974	Error: 4.687500
Train Epoch: 0.15 [8832/60000 (15%)]	Loss: 0.164361	Error: 3.125000
